EmployeeNumber,Age,Gender,MaritalStatus,Attrition,Department,JobRole,JobSatisfaction,JobLevel,BusinessTravel,DistanceFromHome,Salary,OverTime,EnvironmentSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
1,41,Female,Single,Yes,Sales,Sales Executive,4,2,Travel_Rarely,1,5993,Yes,2,8,1,6,0
2,49,Male,Married,No,Research & Development,Research Scientist,2,2,Travel_Frequently,8,5130,No,3,10,3,10,1
4,37,Male,Single,Yes,Research & Development,Laboratory Technician,3,1,Travel_Rarely,2,2090,Yes,4,7,3,0,0
5,33,Female,Married,No,Research & Development,Research Scientist,3,1,Travel_Frequently,3,2909,Yes,4,8,3,8,3
7,27,Male,Married,No,Research & Development,Laboratory Technician,2,1,Travel_Rarely,2,3468,No,1,6,3,2,2
8,32,Male,Single,No,Research & Development,Laboratory Technician,4,1,Travel_Frequently,2,3068,No,4,8,2,7,3
10,59,Female,Married,No,Research & Development,Laboratory Technician,1,1,Travel_Rarely,3,2670,Yes,3,12,2,1,0
11,30,Male,Divorced,No,Research & Development,Laboratory Technician,3,1,Travel_Rarely,24,2693,No,4,1,3,1,0
12,38,Male,Single,No,Research & Development,Manufacturing Director,3,3,Travel_Frequently,23,9526,No,4,10,3,9,1
13,36,Male,Married,No,Research & Development,Healthcare Representative,3,2,Travel_Rarely,27,5237,No,3,17,2,7,7
14,35,Male,Married,No,Research & Development,Laboratory Technician,2,1,Travel_Rarely,16,2426,No,1,6,3,5,0
15,29,Female,Single,No,Research & Development,Laboratory Technician,3,2,Travel_Rarely,15,4193,Yes,4,10,3,9,0
16,31,Male,Divorced,No,Research & Development,Research Scientist,3,1,Travel_Rarely,26,2911,No,1,5,2,5,4
18,34,Male,Divorced,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,19,2661,No,2,3,3,2,1
19,28,Male,Single,Yes,Research & Development,Laboratory Technician,3,1,Travel_Rarely,24,2028,Yes,3,6,3,4,0
20,29,Female,Divorced,No,Research & Development,Manufacturing Director,1,3,Travel_Rarely,21,9980,No,2,10,3,10,8
21,32,Male,Divorced,No,Research & Development,Research Scientist,2,1,Travel_Rarely,5,3298,Yes,1,7,2,6,0
22,22,Male,Divorced,No,Research & Development,Laboratory Technician,4,1,Non-Travel,16,2935,Yes,4,1,2,1,0
23,53,Female,Married,No,Sales,Manager,4,4,Travel_Rarely,2,15427,No,1,31,3,25,3
24,38,Male,Single,No,Research & Development,Research Scientist,4,1,Travel_Rarely,2,3944,Yes,4,6,3,3,1
26,24,Female,Divorced,No,Research & Development,Manufacturing Director,3,2,Non-Travel,11,4011,No,1,5,2,4,1
27,36,Male,Single,Yes,Sales,Sales Representative,1,1,Travel_Rarely,9,3407,No,3,10,3,5,0
28,34,Female,Single,No,Research & Development,Research Director,2,3,Travel_Rarely,7,11994,No,1,13,3,12,2
30,21,Male,Single,No,Research & Development,Research Scientist,4,1,Travel_Rarely,15,1232,No,3,0,3,0,0
31,34,Male,Single,Yes,Research & Development,Research Scientist,1,1,Travel_Rarely,6,2960,No,2,8,3,4,1
32,53,Female,Divorced,No,Research & Development,Manager,3,5,Travel_Rarely,5,19094,No,3,26,2,14,4
33,32,Female,Single,Yes,Research & Development,Research Scientist,1,1,Travel_Frequently,16,3919,Yes,2,10,3,10,6
35,42,Male,Married,No,Sales,Sales Executive,2,2,Travel_Rarely,8,6825,No,3,10,3,9,4
36,44,Female,Married,No,Research & Development,Healthcare Representative,4,3,Travel_Rarely,7,10248,No,1,24,3,22,5
38,46,Female,Single,No,Sales,Manager,1,5,Travel_Rarely,2,18947,No,2,22,2,2,2
39,33,Male,Single,No,Research & Development,Laboratory Technician,4,1,Travel_Rarely,2,2496,No,3,7,3,1,0
40,44,Male,Married,No,Research & Development,Healthcare Representative,4,2,Travel_Rarely,10,6465,Yes,4,9,4,4,1
41,30,Male,Single,No,Research & Development,Laboratory Technician,3,1,Travel_Rarely,9,2206,No,4,10,3,10,1
