OrderID,OrderDate,Region,Product,Quantity,UnitPrice,TotalPrice,Discount,Promotion,Returned,CustomerType,Salesperson,PaymentMethod,StoreLocation,ShippingCost,DeliveryDate,Months,Years
REG100000,2023-02-23,East,Laptop,14,163.6,2290.4,0,Freeship,0,Wholesale,Eva,Online,Store B,43.34,2023-02-27,February,2023
REG100001,2024-12-19,South,Phone,1,544.01,544.01,0,Save10,0,Retail,Alice,Gift Card,Store A,5.3,2024-12-28,December,2024
REG100002,2023-05-10,North,Desk,14,346.18,4361.868,0.1,Winter15,0,Wholesale,Alice,Online,Store B,20.46,2023-05-19,May,2023
REG100003,2025-02-26,Central,Chair,18,384.82,5887.746,0.15,Freeship,0,Wholesale,Frank,Gift Card,Store A,27.95,2025-03-02,February,2025
REG100004,2023-06-24,East,Desk,18,237.76,4279.68,0,Save10,0,Retail,Carlos,Online,Store C,5.73,2023-06-27,June,2023
REG100005,2024-02-20,Central,Monitor,2,385.09,654.653,0.15,No Promostion,0,Wholesale,Diana,Credit Card,Store D,11.92,2024-03-01,February,2024
REG100006,2023-01-11,South,Chair,7,17.5,110.25,0.1,Winter15,0,Retail,Alice,Debit Card,Store C,5.02,2023-01-14,January,2023
REG100007,2023-01-09,Central,Chair,3,330.22,842.061,0.15,No Promostion,0,Wholesale,Carlos,Cash,Store C,48.01,2023-01-11,January,2023
REG100008,2024-10-16,South,Chair,3,432.04,1231.314,0.05,Freeship,1,Wholesale,Bob,Debit Card,Store D,42.11,2024-10-18,October,2024
REG100009,2025-03-05,West,Desk,5,323.28,1454.76,0.1,Save10,0,Retail,Frank,Gift Card,Store D,41.1,2025-03-13,March,2025
REG100010,2024-04-10,North,Desk,15,523.29,6671.9475,0.15,No Promostion,0,Wholesale,Eva,Debit Card,Store B,12.14,2024-04-17,April,2024
REG100011,2024-07-12,East,Phone,19,207.35,3545.685,0.1,No Promostion,1,Retail,Eva,Gift Card,Store D,44.89,2024-07-18,July,2024
REG100012,2023-07-21,Central,Phone,1,120.53,114.5035,0.05,Winter15,0,Retail,Diana,Cash,Store B,20.35,2023-07-31,July,2023
REG100013,2025-01-18,West,Tablet,1,157.83,134.1555,0.15,No Promostion,0,Wholesale,Carlos,Debit Card,Store A,42.82,2025-01-22,January,2025
REG100014,2024-12-08,North,Desk,15,220.3,2808.825,0.15,No Promostion,0,Retail,Diana,Debit Card,Store B,39.66,2024-12-15,December,2024
REG100015,2025-05-11,West,Chair,17,162.96,2631.804,0.05,Freeship,0,Wholesale,Eva,Gift Card,Store A,8.11,2025-05-17,May,2025
REG100016,2023-02-26,West,Laptop,19,236.11,4486.09,0,Winter15,0,Wholesale,Bob,Online,Store D,34.11,2023-03-04,February,2023
REG100017,2024-05-28,Central,Desk,11,573.14,5989.313,0.05,Save10,0,Retail,Diana,Cash,Store D,34.71,2024-06-01,May,2024
REG100018,2023-11-30,East,Phone,20,519.04,8823.68,0.15,Freeship,0,Retail,Carlos,Gift Card,Store B,19.43,2023-12-08,November,2023
REG100019,2023-06-22,West,Desk,14,30.83,431.62,0,Winter15,1,Retail,Carlos,Online,Store B,7.1,2023-07-02,June,2023
REG100020,2025-06-05,West,Phone,10,319.05,3190.5,0,No Promostion,0,Wholesale,Diana,Online,Store D,28.43,2025-06-08,June,2025
REG100021,2023-03-03,Central,Chair,14,312.79,4160.107,0.05,No Promostion,1,Retail,Bob,Online,Store A,46.83,2023-03-08,March,2023
REG100022,2024-02-18,North,Laptop,14,395.45,5536.3,0,Freeship,1,Retail,Carlos,Cash,Store C,36.45,2024-02-22,February,2024
